datetime,elapsed time,N,W
2023-09-01 22:41:06.284911,24.211879014968872,35.924089,139.912361
2023-09-01 22:41:42.937624,60.86458444595337,35.924133,139.912489
2023-09-01 22:42:06.767745,84.69471216201782,35.924292,139.912431
2023-09-01 22:42:55.647820,133.5747880935669,35.924425,139.912431
2023-09-01 22:43:39.412995,177.33996510505676,35.924312,139.912342
2023-09-01 22:43:42.746576,180.67354011535645,35.92431,139.91234
2023-09-01 22:44:25.752779,223.67974638938904,35.924208,139.912447
2023-09-01 22:44:29.070812,226.9977765083313,35.924203,139.912454
2023-09-01 22:45:13.449043,271.37601113319397,35.924304,139.912584
2023-09-01 22:45:54.409866,312.336834192276,35.924419,139.912594
2023-09-01 22:46:45.083729,363.01069808006287,35.924419,139.912323
2023-09-01 22:46:48.392864,366.3198297023773,35.924413,139.91232
2023-09-01 22:47:47.877832,425.80479979515076,35.92412,139.912427
2023-09-01 22:47:48.884296,426.8112654685974,35.924118,139.912427
2023-09-01 22:47:53.663788,431.5907506942749,35.924114,139.912426
2023-09-01 22:47:56.396826,434.32378935813904,35.924113,139.912426
2023-09-01 22:47:58.393998,436.32096767425537,35.924123,139.912429
2023-09-01 22:48:00.440179,438.3671419620514,35.924121,139.912427
2023-09-01 22:48:02.430911,440.3578751087189,35.924123,139.912429
2023-09-01 22:48:04.419015,442.34597849845886,35.924126,139.91243
2023-09-01 22:48:06.453006,444.3799681663513,35.924128,139.912432
2023-09-01 22:48:08.441044,446.3680064678192,35.92413,139.912432
2023-09-01 22:48:10.428850,448.35581374168396,35.92413,139.912432
2023-09-01 22:48:12.467676,450.39463925361633,35.92413,139.912434
2023-09-01 22:48:14.457346,452.3843080997467,35.924132,139.912435
2023-09-01 22:48:16.447460,454.3744230270386,35.924131,139.912435
2023-09-01 22:48:18.472435,456.39939856529236,35.924133,139.912436
2023-09-01 22:48:22.202691,460.1296544075012,35.924133,139.912437
2023-09-01 22:48:24.243482,462.1704452037811,35.924125,139.912423
2023-09-01 22:48:26.237530,464.1644928455353,35.924124,139.912423
2023-09-01 22:48:28.969856,466.89682388305664,35.924124,139.912423
2023-09-01 22:48:30.994257,468.9212214946747,35.924118,139.912412
2023-09-01 22:48:34.720381,472.6473431587219,35.924118,139.912411
2023-09-01 22:48:38.505629,476.43259143829346,35.924114,139.912403
2023-09-01 22:48:42.238057,480.16502809524536,35.924116,139.912404
2023-09-01 22:48:45.019146,482.94610953330994,35.924116,139.912404
2023-09-01 22:48:48.758814,486.68578147888184,35.924116,139.912403
